,date,open,high,low,close,volume,change,vwap,changeOverTime
841,2017-06-23,67.8997,69.0234,67.735,68.9847,27617291,0.9203110000000001,68.6365,1.041752745138663
842,2017-06-26,69.1688,69.4691,68.2436,68.3259,19606974,-0.658749,68.7138,1.0222541214076422
843,2017-06-27,67.9191,67.9869,67.0181,67.0472,25215128,-1.2788,67.445,0.984408204338947
844,2017-06-28,67.0472,67.6585,66.6403,67.6188,25806200,0.571562,67.2673,1.001325953769201
845,2017-06-29,67.2119,67.3184,65.9622,66.3497,28918715,-1.2691,66.4429,0.9637641696510492
846,2017-06-30,66.6306,67.2119,66.5919,66.7759,24161068,0.426249,66.8956,0.9763784887678691
847,2017-07-03,67.1634,67.425,65.8944,66.0397,16165538,-0.73625,66.4592,0.9545890431230948
848,2017-07-05,66.122,67.27,66.0881,66.9213,21176272,0.8815629999999999,66.755,0.9806819190813036
849,2017-07-06,66.1366,66.6306,65.9913,66.4272,21117572,-0.494062,66.329,0.9660579512830378
850,2017-07-07,66.5531,67.6575,66.5531,67.2894,16878317,0.862188,67.1894,0.9915766419036908
851,2017-07-10,67.2894,68.0547,67.0375,67.7931,15014503,0.503748,67.7386,1.0064847426524994
852,2017-07-11,67.8125,68.4713,67.5703,67.8028,17460022,0.009687999999999999,67.9399,1.0067718353212776
853,2017-07-12,68.4809,69.0525,68.3453,68.9266,17750925,1.1238,68.7615,1.0400331488442298
854,2017-07-13,69.2656,69.7887,69.0816,69.5272,20269816,0.6006239999999999,69.52199999999999,1.0578092165625832
855,2017-07-14,69.9825,70.9803,69.7113,70.5056,25868086,0.978439,70.4412,1.0867670997721015
856,2017-07-17,70.525,71.1547,70.4475,71.0578,21803907,0.552187,70.8175,1.1031106638648
857,2017-07-18,70.8059,71.0966,70.3894,71.0094,26435296,-0.048438999999999996,70.7584,1.1016781602391452
858,2017-07-19,71.2031,71.7263,71.1547,71.5519,22416222,0.542501,71.4985,1.117734631663066
859,2017-07-20,71.8619,71.9781,70.99,71.9006,42361025,0.34875100000000003,71.5808,1.1280551691478968
860,2017-07-21,71.1547,71.9684,70.8834,71.4841,46717082,-0.416562,71.3436,1.115727942699855
861,2017-07-24,71.2322,71.4453,70.8447,71.3,21394826,-0.184063,71.1626,1.110279101429544
862,2017-07-25,71.4938,71.9878,71.2031,71.8716,22018681,0.571561,71.7099,1.1271968508597985
863,2017-07-26,72.0169,72.0556,71.5034,71.7359,16252233,-0.135625,71.7407,1.123180513215142
864,2017-07-27,71.455,72.0944,70.06,70.8738,36844220,-0.862187,71.0197,1.0976647823127241
865,2017-07-28,70.3991,71.0191,70.2731,70.7575,18306680,-0.116249,70.7295,1.0942226300056233
866,2017-07-31,71.0094,71.145,70.1472,70.4281,23600054,-0.329376,70.5992,1.0844733181401132
867,2017-08-01,70.8156,71.1256,70.2247,70.3119,20823890,-0.116251,70.5242,1.0810341255512474
868,2017-08-02,70.2828,70.2925,69.2123,70.0019,26499158,-0.30999899999999997,69.757,1.0718589990232932
869,2017-08-03,69.9341,70.1763,69.5998,69.8953,18214424,-0.10656199999999999,69.8727,1.0687039393849709
870,2017-08-04,70.1375,70.7575,69.9825,70.4088,22578952,0.5134380000000001,70.3483,1.083902092520792
871,2017-08-07,70.525,70.6219,70.0019,70.1375,18705681,-0.27125,70.2212,1.0758723769497145
